height,diameter,weight,hue,class
0.081220302,0.030216702,0.143960586,3.269462663, Plastic 
0.123647141,0.116415097,0.75,1.972557371, Ceramic 
0.089885502,0.074007617,0.243078037,2.245829339, Plastic 
0.102275618,0.105571657,0.675379468,3.014154131, Ceramic 
0.130108528,0.126018429,0.75,2.568700685, Ceramic 
0.05,0.063076557,0.247892497,3.464748492, Ceramic 
0.149529118,0.098924671,0.75,3.628877303, Ceramic 
0.102580501,0.105407344,0.47923086,2.910962306, Metal 
0.145183275,0.117153108,0.342288933,4.468242777, Plastic 
0.083965905,0.079692268,0.25984946,2.266964584, Metal 
0.080356654,0.03,0.1,6.283185307, Plastic 
0.080179268,0.081840582,0.29973525,2.984044876, Metal 
0.108268793,0.069940882,0.326389866,3.606553429, Metal 
0.081294249,0.091384278,0.309380531,4.610815715, Metal 
0.120750768,0.110005466,0.75,3.51670165, Ceramic 
0.064917793,0.059915677,0.215932545,1.825795124, Metal 
0.081283259,0.03,0.127037713,2.246354905, Metal 
0.101952476,0.088297052,0.217461001,2.698337938, Plastic 
0.115046444,0.105910142,0.290506684,4.576109872, Plastic 
0.133819811,0.12066619,0.388566766,2.564196002, Plastic 
0.106749758,0.068245592,0.343558447,1.753129638, Metal 
0.085560869,0.071589854,0.451327851,2.721070185, Ceramic 
0.070451653,0.034508818,0.141456508,3.61199386, Ceramic 
0.100796019,0.09749422,0.462656192,2.572976263, Metal 
0.067471006,0.03,0.1,1.985717688, Metal 
0.079166505,0.098765314,0.204414771,3.892499077, Plastic 
0.111795547,0.126509789,0.319643036,3.434636056, Plastic 
0.105087312,0.091572269,0.434043646,3.711068783, Metal 
0.077339371,0.055058875,0.288014281,3.504633015, Ceramic 
0.085898812,0.073947013,0.37344381,4.821663825, Ceramic 
0.076790622,0.101192593,0.204210603,3.089469932, Plastic 
0.107970157,0.093717796,0.286511654,0.168930574, Plastic 
0.109787954,0.121227569,0.75,2.400582982, Ceramic 
0.111142485,0.15,0.707240734,3.069475302, Metal 
0.091777003,0.099907388,0.34414377,1.528496014, Metal 
0.129564824,0.15,0.75,3.723762308, Ceramic 
0.103376285,0.122976952,0.75,2.352205122, Ceramic 
0.078028896,0.06653937,0.187967653,5.572097189, Plastic 
0.10360203,0.09230568,0.618123677,4.547933023, Ceramic 
0.084881694,0.064200166,0.218929592,2.991349878, Metal 
0.097768771,0.080641006,0.351527494,2.51367909, Metal 
0.06779578,0.034083375,0.111363548,2.96598969, Metal 
0.092866094,0.082845526,0.1,3.161943743, Plastic 
0.129761617,0.093092287,0.746143285,2.944963281, Ceramic 
0.126592314,0.102661064,0.75,3.275097188, Ceramic 
0.136036611,0.103176722,0.539238037,3.099030599, Metal 
0.093989085,0.088955651,0.538962809,3.868753823, Ceramic 
0.095775333,0.115234237,0.234942883,2.706148087, Plastic 
0.10929882,0.075612684,0.522227404,2.578141409, Ceramic 
0.11161035,0.128618402,0.323537464,2.919060912, Plastic 
0.098389998,0.106858006,0.66232602,1.705781068, Ceramic 
0.116687483,0.124325591,0.75,2.673752093, Ceramic 
0.138010421,0.15,0.493726205,4.122956352, Plastic 
0.06110344,0.062321557,0.232997549,3.947585277, Metal 
0.07799401,0.073607702,0.238511848,1.466338988, Metal 
0.105518878,0.0534787,0.368700438,2.622183342, Ceramic 
0.131745953,0.15,0.398795546,2.401519597, Plastic 
0.078626784,0.15,0.257557273,2.556577124, Plastic 
0.097989277,0.045347543,0.337151311,4.188199083, Ceramic 
0.127295865,0.122111804,0.290202488,2.607040989, Plastic 
0.127584111,0.120021629,0.353158378,1.337307277, Plastic 
0.118055575,0.139460578,0.75,3.488877772, Ceramic 
0.077331714,0.071017826,0.367956598,2.648311723, Ceramic 
0.11970118,0.15,0.315970368,3.808019348, Plastic 
0.106845878,0.084077486,0.375115561,4.516308915, Metal 
0.095697313,0.126659933,0.27442973,1.970982756, Plastic 
0.115296555,0.129897435,0.31399826,3.713764358, Plastic 
0.07728091,0.061169715,0.302202516,3.767154311, Ceramic 
0.103643372,0.092741288,0.588832007,1.67784175, Ceramic 
0.081384547,0.094250481,0.164491889,3.655400771, Plastic 
0.116546474,0.079766519,0.241642744,3.467315861, Plastic 
0.123067856,0.12413721,0.382957621,2.365395945, Plastic 
0.098338232,0.108888971,0.452149256,3.414281909, Metal 
0.06561265,0.065629314,0.180841529,2.105742456, Metal 
0.070249185,0.092032457,0.404842285,4.313279247, Ceramic 
