height,diameter,weight,hue,class
0.124937779,0.131903758,0.386168249,2.951766979, Plastic 
0.144921374,0.125007466,0.75,3.437875515, Non-Plastic 
0.071892498,0.03,0.163176187,4.052152861, Plastic 
0.084260612,0.03768188,0.231511658,6.283185307, Non-Plastic 
0.07,0.09034795,0.191776997,2.125503851, Plastic 
0.099799767,0.102694341,0.636165293,3.535851838, Non-Plastic 
0.05,0.03,0.1,4.301176935, Non-Plastic 
0.07237162,0.054525468,0.128053991,4.422755319, Non-Plastic 
0.07578485,0.03,0.1,1.401925743, Plastic 
0.059473196,0.066294735,0.221788216,2.327092563, Non-Plastic 
0.125864226,0.122610425,0.75,1.315462534, Non-Plastic 
0.161399649,0.126263296,0.431165899,2.490957279, Plastic 
0.074933452,0.030261702,0.1,3.732772495, Plastic 
0.113301912,0.101372791,0.489402406,2.873577049, Non-Plastic 
0.091344351,0.089602319,0.372979874,3.772084978, Non-Plastic 
0.073145642,0.051687026,0.219246045,5.007641933, Non-Plastic 
0.069363738,0.079143399,0.216742732,2.122002092, Non-Plastic 
0.102580501,0.105407344,0.47923086,2.910962306, Non-Plastic 
